weekyear,Equipment Type,Container Size,Location,Export Units,Import Units,Imbalance
2022-22,Reefer,40,D,0,16,16
2022-22,Reefer,40,E,624,528,-96
2022-22,Reefer,40,F,2576,736,-1840
2022-22,Reefer,40,G,3856,976,-2880
2022-23,Dry,20,A,54976,44352,-10624
2022-23,Dry,20,B,110672,83168,-27504
2022-23,Dry,20,C,19568,30656,11088
2022-23,Dry,20,E,10992,21872,10880
2022-23,Dry,20,F,9600,7168,-2432
2022-23,Dry,20,G,83792,11920,-71872
2022-23,Dry,40,A,84304,66080,-18224
2022-23,Dry,40,B,159072,132096,-26976
2022-23,Dry,40,C,23424,51408,27984
2022-23,Dry,40,D,304,16,-288
2022-23,Dry,40,E,27312,20512,-6800
2022-23,Dry,40,F,32544,12848,-19696
2022-23,Dry,40,G,29968,23152,-6816
2022-23,Reefer,20,A,208,32,-176
2022-23,Reefer,20,B,192,176,-16
2022-23,Reefer,20,C,80,144,64
2022-23,Reefer,20,E,80,64,-16
2022-23,Reefer,20,F,224,0,-224
2022-23,Reefer,20,G,16,0,-16
2022-23,Reefer,40,A,15120,6464,-8656
2022-23,Reefer,40,B,15856,25360,9504
2022-23,Reefer,40,C,4160,26096,21936
2022-23,Reefer,40,D,0,32,32
2022-23,Reefer,40,E,1152,2432,1280
2022-23,Reefer,40,F,3088,368,-2720
2022-23,Reefer,40,G,8640,1840,-6800
2022-24,Dry,20,A,43856,45744,1888
2022-24,Dry,20,B,119280,123168,3888
2022-24,Dry,20,C,21488,30832,9344
2022-24,Dry,20,D,0,48,48
2022-24,Dry,20,E,11136,12096,960
2022-24,Dry,20,F,7536,9840,2304
2022-24,Dry,20,G,63408,9072,-54336
2022-24,Dry,40,A,63536,64320,784
2022-24,Dry,40,B,133744,122320,-11424
2022-24,Dry,40,C,23072,45520,22448
2022-24,Dry,40,D,688,0,-688
2022-24,Dry,40,E,15136,18224,3088
2022-24,Dry,40,F,22528,21184,-1344
2022-24,Dry,40,G,16752,20208,3456
2022-24,Reefer,20,A,336,0,-336
2022-24,Reefer,20,B,640,640,0
2022-24,Reefer,20,C,80,16,-64
2022-24,Reefer,20,E,128,32,-96
2022-24,Reefer,20,F,32,144,112
2022-24,Reefer,20,G,48,32,-16
2022-24,Reefer,40,A,11664,3904,-7760
2022-24,Reefer,40,B,25488,11280,-14208
2022-24,Reefer,40,C,3920,15280,11360
2022-24,Reefer,40,D,0,32,32
2022-24,Reefer,40,E,768,1952,1184
2022-24,Reefer,40,F,1984,1216,-768
2022-24,Reefer,40,G,5440,1168,-4272
2022-25,Dry,20,A,51344,37904,-13440
2022-25,Dry,20,B,93920,124800,30880
2022-25,Dry,20,C,14128,25520,11392
