Start Event Type,Start Event Description,Equipment Type,Unit Count,Date,Start Event Location Full
ELV,Export Loaded on Vessel,20DV,1024,2022-01-06,E
ELV,Export Loaded on Vessel,20DV,240,2022-01-06,D
ELV,Export Loaded on Vessel,20DV,704,2022-01-06,F
ELV,Export Loaded on Vessel,20DV,6544,2022-01-06,C
ELV,Export Loaded on Vessel,20DV,3872,2022-01-06,G
ELV,Export Loaded on Vessel,20RE,64,2022-01-06,A
ELV,Export Loaded on Vessel,20RE,16,2022-01-06,B
ELV,Export Loaded on Vessel,20RE,16,2022-01-06,E
ELV,Export Loaded on Vessel,40DV,848,2022-01-06,A
ELV,Export Loaded on Vessel,40DV,1600,2022-01-06,B
ELV,Export Loaded on Vessel,40DV,352,2022-01-06,E
ELV,Export Loaded on Vessel,40DV,272,2022-01-06,F
ELV,Export Loaded on Vessel,40DV,64,2022-01-06,C
ELV,Export Loaded on Vessel,40DV,16,2022-01-06,G
ELV,Export Loaded on Vessel,40HC,12224,2022-01-06,A
ELV,Export Loaded on Vessel,40HC,20720,2022-01-06,B
ELV,Export Loaded on Vessel,40HC,4080,2022-01-06,E
ELV,Export Loaded on Vessel,40HC,32,2022-01-06,D
ELV,Export Loaded on Vessel,40HC,3392,2022-01-06,F
ELV,Export Loaded on Vessel,40HC,1312,2022-01-06,C
ELV,Export Loaded on Vessel,40HC,544,2022-01-06,G
ELV,Export Loaded on Vessel,40HR,3376,2022-01-06,A
ELV,Export Loaded on Vessel,40HR,784,2022-01-06,B
ELV,Export Loaded on Vessel,40HR,16,2022-01-06,E
ELV,Export Loaded on Vessel,40HR,1024,2022-01-06,F
ELV,Export Loaded on Vessel,40HR,720,2022-01-06,C
ELV,Export Loaded on Vessel,40HR,16,2022-01-06,G
IDV,Import Discharged from Vessel,20DV,4416,2022-01-06,A
IDV,Import Discharged from Vessel,20DV,13936,2022-01-06,B
IDV,Import Discharged from Vessel,20DV,4480,2022-01-06,E
IDV,Import Discharged from Vessel,20DV,128,2022-01-06,F
IDV,Import Discharged from Vessel,20DV,4800,2022-01-06,C
IDV,Import Discharged from Vessel,20DV,208,2022-01-06,G
IDV,Import Discharged from Vessel,20RE,32,2022-01-06,B
IDV,Import Discharged from Vessel,40DV,64,2022-01-06,A
IDV,Import Discharged from Vessel,40DV,1168,2022-01-06,B
IDV,Import Discharged from Vessel,40DV,464,2022-01-06,E
IDV,Import Discharged from Vessel,40DV,96,2022-01-06,F
IDV,Import Discharged from Vessel,40DV,528,2022-01-06,C
IDV,Import Discharged from Vessel,40DV,144,2022-01-06,G
IDV,Import Discharged from Vessel,40HC,4528,2022-01-06,A
IDV,Import Discharged from Vessel,40HC,19648,2022-01-06,B
IDV,Import Discharged from Vessel,40HC,4880,2022-01-06,E
IDV,Import Discharged from Vessel,40HC,448,2022-01-06,F
IDV,Import Discharged from Vessel,40HC,6032,2022-01-06,C
IDV,Import Discharged from Vessel,40HC,1200,2022-01-06,G
IDV,Import Discharged from Vessel,40HR,208,2022-01-06,A
IDV,Import Discharged from Vessel,40HR,1008,2022-01-06,B
IDV,Import Discharged from Vessel,40HR,272,2022-01-06,E
IDV,Import Discharged from Vessel,40HR,96,2022-01-06,F
IDV,Import Discharged from Vessel,40HR,3184,2022-01-06,C
IDV,Import Discharged from Vessel,40HR,80,2022-01-06,G
ELV,Export Loaded on Vessel,20DV,8608,2022-01-07,A
ELV,Export Loaded on Vessel,20DV,14752,2022-01-07,B
ELV,Export Loaded on Vessel,20DV,2768,2022-01-07,E
ELV,Export Loaded on Vessel,20DV,1216,2022-01-07,F
ELV,Export Loaded on Vessel,20DV,4960,2022-01-07,C
ELV,Export Loaded on Vessel,20DV,5776,2022-01-07,G
ELV,Export Loaded on Vessel,20RE,32,2022-01-07,A
ELV,Export Loaded on Vessel,40DV,448,2022-01-07,A
ELV,Export Loaded on Vessel,40DV,416,2022-01-07,B
ELV,Export Loaded on Vessel,40DV,288,2022-01-07,E
ELV,Export Loaded on Vessel,40DV,1152,2022-01-07,F
ELV,Export Loaded on Vessel,40DV,352,2022-01-07,C
ELV,Export Loaded on Vessel,40DV,48,2022-01-07,G
ELV,Export Loaded on Vessel,40HC,13872,2022-01-07,A
ELV,Export Loaded on Vessel,40HC,14032,2022-01-07,B
ELV,Export Loaded on Vessel,40HC,5888,2022-01-07,E
ELV,Export Loaded on Vessel,40HC,7456,2022-01-07,F
ELV,Export Loaded on Vessel,40HC,2208,2022-01-07,C
ELV,Export Loaded on Vessel,40HC,2944,2022-01-07,G
ELV,Export Loaded on Vessel,40HR,1280,2022-01-07,A
ELV,Export Loaded on Vessel,40HR,688,2022-01-07,B
ELV,Export Loaded on Vessel,40HR,80,2022-01-07,E
ELV,Export Loaded on Vessel,40HR,1888,2022-01-07,F
ELV,Export Loaded on Vessel,40HR,304,2022-01-07,C
ELV,Export Loaded on Vessel,40HR,2352,2022-01-07,G
IDV,Import Discharged from Vessel,20DV,5520,2022-01-07,A
IDV,Import Discharged from Vessel,20DV,18176,2022-01-07,B
IDV,Import Discharged from Vessel,20DV,4272,2022-01-07,E
IDV,Import Discharged from Vessel,20DV,1680,2022-01-07,F
IDV,Import Discharged from Vessel,20DV,3312,2022-01-07,C
IDV,Import Discharged from Vessel,20DV,2128,2022-01-07,G
IDV,Import Discharged from Vessel,20RE,144,2022-01-07,B
IDV,Import Discharged from Vessel,20RE,32,2022-01-07,E
IDV,Import Discharged from Vessel,20RE,16,2022-01-07,C
IDV,Import Discharged from Vessel,40DV,896,2022-01-07,A
IDV,Import Discharged from Vessel,40DV,1312,2022-01-07,B
IDV,Import Discharged from Vessel,40DV,160,2022-01-07,E
